policy_id,customer_id,policy_type,premium_amount,coverage_amount,start_date,end_date,status,created_at,loaded_at
P2001,1001,auto,150.00,50000,2021-01-01,2022-01-01,active,2021-01-01,2024-01-01
P2002,1001,home,200.00,250000,2021-03-15,2022-03-15,active,2021-03-15,2024-01-01
P2003,1002,auto,175.00,60000,2021-02-01,2022-02-01,expired,2021-02-01,2024-01-01
P2004,1003,life,300.00,500000,2021-04-01,2031-04-01,active,2021-04-01,2024-01-01
P2005,1003,auto,140.00,45000,2021-05-15,2022-05-15,cancelled,2021-05-15,2024-01-01
P2006,1004,health,450.00,100000,2021-06-01,2022-06-01,active,2021-06-01,2024-01-01
P2007,1005,auto,160.00,55000,2021-07-01,2022-07-01,active,2021-07-01,2024-01-01
P2008,1006,home,220.00,300000,2022-01-01,2023-01-01,active,2022-01-01,2024-01-01
P2009,1007,auto,180.00,65000,2022-02-15,2023-02-15,expired,2022-02-15,2024-01-01
P2010,1008,life,350.00,750000,2022-03-01,2032-03-01,active,2022-03-01,2024-01-01
P2011,1009,health,400.00,80000,2022-06-01,2023-06-01,cancelled,2022-06-01,2024-01-01
P2012,1010,auto,155.00,52000,2022-07-01,2023-07-01,active,2022-07-01,2024-01-01